status;nome;cpf;idade;data_nascimento;cidade;regiao;renda_mensal;credito_tomado;flag_inadimplente;qtde_batalhas;nivel_risco;flag_inadimplente;valor_solicitado
Ativo;Margaery Manderly;000.000.222-00;63;23231;Winterfell;Norte;16800;0;;32;;;61500
Ativo;Daenerys Seaworth;000.000.341-00;54;07/10/1971;Vilavelha;CAMPINA;29700;34000;Não;35;;Não;35000
Ativo;Brienne Manderly;000.000.140-00;29;35472;Fosso Cailin | Norte;;11900;65000;Sim;29;;Sim;12000
Ativo;Jorah Redwyne;16500;37;32513;Monte Chifre;campina;R$ 2.600,00;N/A;Não;5;;Não;16500
Ativo;Margaery  Hornwood;15100;25;22/08/2001;Dorne;Dorne;2500;72500;Não;32;;Não;97000
Ativo;Arya Redwyne;000.000.333-00;21;38323;Correrrio;Terras Fluviais;3800 moedas;0;Não;25;;Não;50000
Ativo;VARYS BRACKEN;000.000.215-00;28;02/04/1998;Porto Real;Terras da Coroa;2000 moedas;51000;Nao;12;;Nao;72500
Ativo;Brienne Royce;10800;39;20/12/1986;Vilavelha;campina;24700;23500 moedas;Não;43;;Não;57000
Ativo;Rickon Redwyne;15000;73;19588;Fosso Cailin;Norte;28.600;40500;Não;20;;Não;2500
Ativo;Tormund Karstark;000.000.284-00;42;12/12/1983;Castelo Negro;NORTE;20400;0;Nao;0;;Nao;81000
Ativo;Bran Dayne;000.000.288-00;48;01/11/1977;Pyke;Ilhas De Ferro;4500 moedas;0;Não;3;;Não;48500
Inativo;Jorah Dondarrion;000.000.294-00;39;08/10/1986;Lannisporto;Oeste;22200;0;Sim;3;;Sim;7000
Ativo;Aegon Frey;000.000.338-00;56;18/11/1969;Dorne;Dorne;11100 moedas;63000;Não;0;;Não;56000
Ativo;Daenerys Snow;14200;48;10/07/1978;Dorne | Dorne;;15800;N/A;Não;12;;Não;69500
Ativo;Asha Baratheon;000.000.195-00;70;25/04/1956;Braavos;Essos;16300;16500;Não;25;;Não;65500
ATIVO;Rickon Crakehall;000.000.066-00;24;37435;Atalaia da Água Cinzenta;gargalo;6100;;NÃO;15;;NÃO;67000
Ativo;Eddard Mallister;000.000.309-00;47;28802;Atalaia da Água Cinzenta;GARGALO;22700;8500;;35;;;23500
Ativo;Daario Clegane;000.000.270-00;33;04/10/1992;Castelo Negro;NORTE;29.700;22000;Não;38 batalhas;;Não;81000
Inativo;Ellaria Mallister;000.000.194-00;38;21/11/1987;Pyke;ilhas de ferro;13500;24000;Não;2;;Não;17500
Inativo;Stannis  Cerwyn;3400;35;27/11/1990;Winterfell;norte;17600;44000;NÃO;22;;NÃO;56500
Inativo;ELLARIA TARLY;000.000.026-00;67;21512;Braavos;ESSOS;R$ 3.200,00;6500;Não;20;;Não;52500
ativo;Daario Tyrell;000.000.251-00;51;14/12/1974;Pyke;Ilhas De Ferro;16300;;Nao;8;;Nao;33000
Inativo;Daario Marbrand;000.000.014-00;46 anos;15/09/1979;Fosso Cailin;Norte;15000;32500;Não;40;;Não;4500
Ativo;Thoros Tarth;23900;39;31740;Pyke;ILHAS DE FERRO;R$ 13.200,00;N/A;Não;38 batalhas;;Não;36000
Ativo;Arya Marbrand;000.000.133-00;24;37172;Ninho da Águia;Vale;21600;R$ 25.000,00;Não;33;;Não;17500
Ativo;Davos Tyrell;16100;57;;Lannisporto;oeste;sem renda;;Sim;28 batalhas;;Sim;13000
Ativo;Lyanna Florent;6300;68;;Pedra do Dragão;Terras da Coroa;19.900;35000;Nao;25;;Nao;59500
Ativo;Varys Bolton;27200;56;22/05/1970;Fosso Cailin;Norte;14100;1500;Não;26;;Não;36000
ATIVO;Shae Seaworth;000.000.030-00;33;27/02/1993;Braavos;essos;3400;0;Não;13;;Não;70000
Ativo;Jojen Reed;000.000.136-00;41;19/09/1984;Ponta Tempestade;Terras da Tempestade;20000 moedas;20.500;Sim;8;;Sim;44000
Ativo;Podrick Blackwood;000.000.135-00;;18/03/1994;Dorne;Dorne;;0;Não;20;;Não;42000
Ativo;Renly Mallister;000.000.372-00;34;33525;Winterfell;;28000;36500;Não;33;;Não;60000
Ativo;Cersei Clegane;000.000.323-00;24;37259;Dorne;Dorne;25200;0;Não;10;;Não;69500
Ativo;BERIC CRAKEHALL;000.000.067-00;55;26104;Pyke;Ilhas De Ferro;22.100;41500;Não;18;;Não;65000
Inativo;Ellaria Bracken;000.000.138-00;59;24512;Monte Chifre;CAMPINA;6300;15000;Não;42;;Não;8500
Inativo;Ellaria  Reed;000.000.311-00;70;17/02/1956;Lannisporto;Oeste;2.500;0;Não;38;;Não;44500
Ativo;Daenerys Tallhart;000.000.092-00;37;32543;Vilavelha;Campina;29200;R$ 45.000,00;Não;26;;Não;23500
Ativo;Lyanna Marbrand;000.000.283-00;27;36308;Correrrio;Terras Fluviais;5300;22000 moedas;NÃO;11;;NÃO;28500
Ativo;Ramsay Dondarrion;000.000.054-00;55;25874;Dorne;dorne;29.100;5500 moedas;Não;11;;Não;56000
ATIVO;Thoros  Baelish;000.000.011-00;53;28/05/1973;Meereen;Essos;27800;R$ 52.000,00;Não;43;;Não;93500
Ativo;Melisandre Blackwood;000.000.051-00;40;31647;Fosso Cailin;Norte;R$ 18.700,00;15000;;26;;;89500
Ativo;Yara Baelish;34400;64;22836;Solar do Entardecer;Terras Da Tempestade;24300;16.500;Sim;24;;Sim;57000
Ativo;Cersei Stark;000.000.293-00;25;19/07/2001;Ninho da Águia;Vale;28.800;;Não;12;;Não;46500
Ativo;Jon  Karstark;000.000.139-00;55 anos;16/08/1971;Jardim de Cima;;12200;70500 moedas;não;33;;não;78000
Ativo;Yara Royce;32000;68;21162;Castelo Negro;Norte;11.500;17500;Não;19;;Não;26000
Ativo;Jeor Lannister;000.000.091-00;37;32412;Fosso Cailin;norte;24700;R$ 23.000,00;Sim;10 batalhas;;Sim;37500
Ativo;bran florent;000.000.218-00;62;23488;Ninho da Águia;Vale;sem renda;N/A;Não;38 batalhas;;Não;72000
Ativo;Jojen Redwyne;000.000.334-00;24 anos;37491;Dorne;dorne;R$ 8.900,00;19500;Sim;33;;Sim;96500
Ativo;Bronn Mallister;000.000.200-00;35;;Vilavelha;Campina;28000;76500 moedas;Não;39;;Não;32000
Ativo;Olenna Reed;000.000.248-00;40;31408;Braavos | Essos;;17400;53.000;Sim;20;;Sim;52500
Ativoo;Jon Hightower;000.000.081-00;59;24362;Winterfell;Norte;18900;1000;sim;42;;sim;16500
Inativo;renly dayne;000.000.065-00;;19672;Dorne;Dorne;21000;0;Nao;11;;Nao;75500
Ativo;Missandei Karstark;000.000.044-00;42;16/12/1983;Pedra do Dragão;terras da coroa;6000;R$ 55.000,00;Não;5;;Não;10000
Ativo;Catelyn Cerwyn;000.000.308-00;60;06/12/1965;Atalaia da Água Cinzenta;gargalo;13.800;45500;Não;30;;Não;17500
Ativo;Margaery Dayne;000.000.276-00;36;32791;Jardim de Cima;CAMPINA;23900;58000;Não;27;;Não;38000
Ativo;Rickon Karstark;000.000.088-00;74;19121;Castelo Negro;Norte;7300;1000;Não;3;;Não;50500
Ativoo;Jorah Seaworth;20700;66;23/08/1960;Fosso Cailin | Norte;;28800 moedas;16000;Sim;44;;Sim;59000
Ativo;Stannis Redwyne;000.000.216-00;34;33835;Jardim de Cima | Campina;;5100;17000;Não;3 batalhas;;Não;4500
Ativo;Yara Royce;000.000.277-00;65;04/06/1961;Ninho da Águia;vale;12700;R$ 60.500,00;Não;36;;Não;28000
Inativo;LORAS BAELISH;000.000.217-00;68;20/01/1958;Jardim de Cima;Campina;8200;R$ 66.000,00;Não;16;;Não;84000
Inativo;Viserys Florent;000.000.129-00;59;23/03/1967;Meereen;Essos;R$ 15.200,00;11000;NÃO;27;;NÃO;87000
Ativo;Jon Marbrand;000.000.359-00;29;35600;Porto Real;terras da coroa;10000;25500;Não;15;;Não;66000
Ativo;Aegon Bracken;000.000.244-00;69;20725;Correrrio;terras fluviais;8100;27500;NÃO;42;;NÃO;72500
Ativo;Daenerys Tallhart;000.000.092-00;37;32543;Vilavelha;Campina;29200;R$ 45.000,00;Não;26;;Não;78000
Inativo;loras payne;000.000.027-00;30;15/05/1996;Braavos;ESSOS;26500;14500;0;15;;0;65500
Ativo;Missandei  Tarly;000.000.196-00;58;24905;Meereen;ESSOS;12.400;21.500;Sim;24 batalhas;;Sim;80000
Ativo;Aegon Baelish;24000;47;25/06/1979;Meereen | Essos;;28.400;78000;Não;37;;Não;99000
Ativo;MELISANDRE TARGARYEN;000.000.170-00;31;02/06/1995;Fosso Cailin | Norte;;20500;R$ 47.500,00;Não;11;;Não;18500
loqueado;Roose Cerwyn;000.000.047-00;63;23084;Vilavelha;Campina;17300;22000;Não;10;;Não;97000
Ativo;Shae Frey;12700;26;24/12/1999;Ilha dos Ursos;Norte;R$ 5.000,00;61500 moedas;Não;35;;Não;18500
Ativo;Lyanna Swyft;18000;29;35344;Ninho da Águia;vale;19900;49500;Sim;27;;Sim;23000
Ativo;Rhaegar Targaryen;000.000.342-00;51;19/01/1975;Fosso Cailin;NORTE;18500;69.500;Não;31 batalhas;;Não;18000
Ativo;Varys Targaryen;000.000.234-00;46;08/12/1979;Meereen;Essos;3200;0;Não;16;;Não;61500
Ativo;Robb Stark;000.000.228-00;65;12/08/1961;Ilha dos Ursos;Norte;R$ 29.000,00;28500;Não;28;;Não;57500
Ativo;Gendry Hightower;000.000.167-00;26;36475;Harrenhal | Terras Fluviais;;13900;R$ 53.500,00;Não;12;;Não;85000
Inativo;tormund glover;000.000.087-00;63;22994;Pyke;ilhas de ferro;20000;R$ 29.500,00;Não;42;;Não;5000
Ativo;Tyrion Snow;27900;71;05/01/1955;Monte Chifre;Campina;24100;0;NÃO;10;;NÃO;87000
Ativo;Beric  Umber;;73;19538;Pedra do Dragão;terras da coroa;12700;R$ 79.500,00;Não;35;;Não;39000
Ativo;Varys Florent;26400;57;25238;Harrenhal | Terras Fluviais;;3200;;Não;18;;Não;64000
Ativo;Catelyn Umber;9900;64;01/07/1962;Harrenhal;TERRAS FLUVIAIS;R$ 2.900,00;R$ 76.000,00;Não;32;;Não;72500
Inativo;Samwell Glover;16000;73;01/11/1952;Ponta Tempestade;TERRAS DA TEMPESTADE;7100;R$ 58.000,00;Sim;22;;Sim;46500
Ativo;Thoros Clegane;000.000.141-00;28;17/07/1998;Lannisporto;Oeste;R$ 13.400,00;R$ 54.000,00;Não;15;;Não;99000
Ativo;THEON BARATHEON;000.000.375-00;26;36622;Dorne;Dorne;22900 moedas;R$ 65.500,00;SIM;40;;SIM;95500
Ativo;Melisandre  Baelish;000.000.152-00;69;19/08/1957;Ponta Tempestade;Terras da Tempestade;25100 moedas;40500;Não;43;;Não;24500
Ativo;Robert Yronwood;000.000.075-00;67;15/03/1959;Winterfell;NORTE;8500;R$ 39.500,00;Sim;;;Sim;42000
Ativo;Meera Reed;000.000.314-00;53;12/10/1972;Fosso Cailin;Norte;12200;R$ 79.500,00;Nao;45;;Nao;57000
Ativo;tormund royce;000.000.297-00;55;25880;Ponta Tempestade;Terras da Tempestade;27500;14000;Não;3;;Não;11500
Ativo;Rickon Karstark;8900;;23/08/1991;Atalaia da Água Cinzenta;gargalo;24000;0;Sim;3;;Sim;60000
Inativo;Podrick Blackwood;8300;31;34828;Porto Real;Terras da Coroa;24.900;72000;Não;35;;Não;79000
Ativo;Tyrion Karstark;3800;41;06/11/1984;Lannisporto;OESTE;28.600;R$ 67.500,00;Não;39;;Não;22000
Ativo;Missandei Florent;000.000.282-00;56;25671;Harrenhal;Terras Fluviais;28300;56000;Não;6;;Não;77000
Ativo;Varys  Stark;37700;23;06/11/2002;Braavos;ESSOS;2600;0;Sim;30;;Sim;11000
Ativo;Jeor Karstark;000.000.310-00;25;37137;Ninho da Águia;Vale;;21.000;Não;34;;Não;7500
Ativo;RENLY MORMONT;000.000.376-00;57;25199;Vilavelha;CAMPINA;R$ 20.700,00;64500;Não;19 batalhas;;Não;54500
ativo;Eddard Royce;000.000.181-00;73;16/11/1952;Pedra do Dragão;Terras Da Coroa;6100;16000 moedas;Não;9;;Não;24500
Ativo;Rhaegar Lannister;37000;24;03/02/2002;Jardim de Cima;campina;R$ 6.400,00;41.000;Não;22;;Não;74500
ATIVO;Varys Blackwood;000.000.373-00;47;;Braavos;;11.600;63.500;0;18;;0;3000
Inativo;EDDARD WESTERLING;000.000.094-00;52;27186;Ponta Tempestade;terras da tempestade;6400;37000;Não;1;;Não;87000
Inativo;Varys  Blackwood;26700;54;26453;Atalaia da Água Cinzenta;gargalo;3900;80000;Não;41 batalhas;;Não;30000
Ativo;Olenna Bracken;000.000.225-00;45;12/01/1981;Lannisporto;oeste;22800;;Não;10;;Não;31000
Ativo;Aegon Marbrand;35200;65;22337;Castelo Negro;Norte;3800;49500;Não;16;;Não;15500
Ativo;Beric Tyrell;000.000.242-00;66;22151;Vilavelha;Campina;11800;R$ 2.000,00;Sim;23;;Sim;72500
Inativo;Asha Manderly;000.000.357-00;29;35607;Ilha dos Ursos;Norte;13800;41500;Não;34;;Não;66000
Ativo;Ellaria Mormont;000.000.157-00;22;10/10/2003;Ponta Tempestade;Terras da Tempestade;2300;0;Sim;29 batalhas;;Sim;51500
Inativo;Grey Worm Baratheon;000.000.221-00;29;35598;Dorne;Dorne;15500;75000;NÃO;25;;NÃO;47000
Ativo;Ellaria Swyft;000.000.115-00;72;19839;Ninho da Águia;VALE;R$ 3.900,00;27000;Não;33;;Não;2000
Ativo;Grey  Worm  Greyjoy;000.000.182-00;58;16/08/1968;Jardim de Cima;campina;4.500;;Sim;31;;Sim;97500
Ativoo;Jeor  Payne;20900;33;34021;Ponta Tempestade;Terras da Tempestade;;73500;Não;33;;Não;95000
Ativo;Bronn Royce;36900;61;23928;Solar do Entardecer;Terras da Tempestade;22900;7500;Não;12;;Não;73000
Ativo;Robert Hornwood;000.000.259-00;73;19363;Jardim de Cima;Campina;23000 moedas;R$ 19.000,00;Não;0;;Não;17000
inativo;Asha Bolton;6900;51;27590;Castelo Negro;Norte;19.400;4000;Não;30;;Não;38500
Ativo;Bronn Blackwood;000.000.052-00;43;24/12/1982;Atalaia da Água Cinzenta;gargalo;R$ 18.400,00;62000;Não;33;;Não;31000
Inativo;Daario Arryn;000.000.173-00;63;23119;Ninho da Águia;vale;9300;48500;Não;28;;Não;20000
Inativo;Jeor Marbrand;000.000.073-00;63;05/10/1962;Braavos;ESSOS;29000;R$ 36.500,00;Não;38;;Não;47000
Inativo;Petyr Karstark;23700;;19234;Jardim de Cima;Campina;R$ 8.900,00;R$ 4.000,00;Não;38;;Não;22500
;Ramsay Stark;000.000.169-00;61;23813;Braavos;Essos;R$ 26.300,00;40000;Sim;10 batalhas;;Sim;16500
Ativo;Thoros Karstark;000.000.012-00;53;28/11/1972;Atalaia da Água Cinzenta;Gargalo;R$ 22.700,00;42500;Sim;25;;Sim;86000
Ativo;Ellaria Martell;000.000.148-00;48;28673;Atalaia da Água Cinzenta;Gargalo;R$ 2.300,00;26500;não;44;;não;81000
Inativo;Yara Payne;000.000.250-00;;38001;Fosso Cailin;NORTE;2100;79500;Sim;29;;Sim;64000
Inativo;Viserys Baratheon;000.000.186-00;33;17/12/1992;Winterfell;Norte;25700;35000;Não;40;;Não;1000
Inativo;Jeor Clegane;27300;66;21873;Fosso Cailin;Norte;R$ 9.900,00;42000 moedas;Não;13;;Não;37000
Ativoo;SANDOR WESTERLING;33700;44;30167;Vilavelha;;5500;R$ 26.000,00;Não;30 batalhas;;Não;64000
Inativo;Gilly Frey;000.000.258-00;33;04/07/1993;Castelo Negro;Norte;2400;R$ 78.000,00;Não;6;;Não;28000
Ativo;Loras Bracken;000.000.254-00;51;21/04/1975;Atalaia da Água Cinzenta | Gargalo;;R$ 7.200,00;17500 moedas;Sim;40;;Sim;5500
inativo;Varys Tallhart;;61;23932;Correrrio;Terras Fluviais;4100;78000;Não;25;;Não;48000
Ativo;Roose Bracken;18800;43;30355;Ilha dos Ursos;Norte;R$ 21.700,00;31000;Não;27;;Não;45500
Ativo;Varys Arryn;000.000.097-00;56;28/08/1970;Vilavelha;Campina;5400;61000;Não;12;;Não;96500
ATIVO;Asha Redwyne;10200;35;25/07/1991;Pedra do Dragão;Terras da Coroa;8.400;62500;Não;31;;Não;83500
Inativo;Beric Tallhart;000.000.291-00;44;29948;Dorne;Dorne;;0;Não;4;;Não;80000
Inativo;Margaery Cerwyn;000.000.211-00;31;08/02/1995;Vilavelha;Campina;22600;58000;Nao;5 batalhas;;Nao;26500
Inativo;Jorah Redwyne;4000;48;22/06/1978;Porto Real;Terras da Coroa;24700;30500;Não;34;;Não;87500
Inativo;Loras Frey;000.000.017-00;30;35213;Jardim de Cima | Campina;;3900;45000;Não;34;;Não;41500
Inativo;Bran Karstark;000.000.241-00;21;07/12/2004;Pyke;ILHAS DE FERRO;4400;23500;Sim;31;;Sim;91000
Ativo;ROBERT CERWYN;30000;48;28509;Harrenhal;TERRAS FLUVIAIS;17800 moedas;R$ 9.000,00;0;28;;0;80000
Ativo;Thoros Yronwood;000.000.201-00;;25925;Pyke;ILHAS DE FERRO;R$ 20.200,00;61000;Não;10;;Não;6500
;Bronn Umber;000.000.177-00;56;17/05/1970;Porto Real;Terras da Coroa;R$ 11.100,00;R$ 13.000,00;Não;38;;Não;88000
Ativo;Brienne Dayne;000.000.070-00;62;22/11/1963;Pedra do Dragão;Terras da Coroa;11900;58.500;Não;37;;Não;48000
Ativo;Bronn Bolton;000.000.143-00;26;36619;Harrenhal;Terras Fluviais;26800 moedas;42500;Sim;29;;Sim;66000
Ativo;Rhaegar Hornwood;000.000.178-00;30;14/02/1996;Ponta Tempestade;TERRAS DA TEMPESTADE;2600;62000;Não;22;;Não;62000
Ativo;Meera Tarly;000.000.326-00;;23/06/1952;Pyke;Ilhas de Ferro;25000;0;Não;3;;Não;2500
Inativo;THOROS HORNWOOD;000.000.245-00;65;22205;Castelo Negro;Norte;19800;78.500;Não;34;;Não;23000
Inativo;Jeor Martell;000.000.061-00;58;11/09/1967;Meereen;Essos;20100 moedas;40000;Não;16;;Não;98500
Ativo;Lyanna Stark;000.000.023-00;45;29769;Ponta Tempestade;terras da tempestade;24400;R$ 7.500,00;Nao;13;;Nao;95000
Ativo;Rhaegar Tallhart;34800;26;36596;Ilha dos Ursos;norte;3500;50000;0;40;;0;46500
Ativo;Petyr Greyjoy;000.000.301-00;42;30898;Lannisporto;;20800;R$ 54.000,00;Não;4;;Não;73500
Inativo;Renly Redwyne;000.000.045-00;66;08/02/1960;Porto Real;TERRAS DA COROA;3400;78000;Não;9;;Não;51500
inativo;Asha Arryn;000.000.122-00;49;28049;Castelo Negro;Norte;25200;59500;Não;37;;Não;86500
Ativo;Podrick Florent;000.000.354-00;60;06/10/1965;Winterfell;NORTE;22900;4500;Sim;29;;Sim;43500
INATIVO;Daario Cerwyn;17500;60;15/12/1965;Lannisporto;Oeste;10100;55000;Não;26;;Não;54000
Ativo;Catelyn Tarly;16300;27 anos;05/04/1999;Castelo Negro;Norte;14000;63500;Não;24;;Não;87000
Ativo;Rickon Lannister;000.000.197-00;53;26898;Fosso Cailin;Norte;27100;68000;Não;40 batalhas;;Não;49500
Ativo;Jorah Marbrand;000.000.168-00;37;32414;Pedra do Dragão | Terras da Coroa;;12800;76500;Não;30 batalhas;;Não;18500
Ativo;Renly Seaworth;35000;18;17/09/2007;Vilavelha;Campina;28900;22000;Não;23;;Não;90000
Ativo;Lyanna Marbrand;000.000.283-00;27;36308;Correrrio;Terras Fluviais;5300;22000 moedas;NÃO;11;;NÃO;4500
Ativo;robert mallister;000.000.037-00;25;36824;Castelo Negro;Norte;18300;41000;Não;9;;Não;32500
Ativo;Ramsay Dayne;000.000.224-00;55;26103;Ponta Tempestade;Terras da Tempestade;9600;43000;Não;36;;Não;67500
Ativo;BRIENNE KARSTARK;000.000.031-00;23;37530;Pyke | Ilhas de Ferro;;10700;15000;Não;42;;Não;81500
Inativo;Tormund Greyjoy;000.000.009-00;58;24872;Pyke;ILHAS DE FERRO;R$ 12.500,00;44.500;NÃO;13;;NÃO;16000
Ativo;Jaime Yronwood;;24;;Pedra do Dragão;Terras Da Coroa;17000;41000;Não;37;;Não;33000
Ativo;Thoros Payne;7700;;17/10/1985;Harrenhal;Terras Fluviais;14000;0;Nao;24;;Nao;82000
Ativo;Asha Tallhart;000.000.006-00;59;24710;Correrrio | Terras Fluviais;;19.900;55.000;Não;26;;Não;100000
Inativo;theon tarth;000.000.289-00;74;19073;Lannisporto;;7100;61500;Não;1 batalhas;;Não;50500
Ativo;Stannis Seaworth;000.000.316-00;64;28/08/1962;Pyke;Ilhas de Ferro;8.800;R$ 66.000,00;Não;28;;Não;5000
Inativo;Tormund Greyjoy;000.000.009-00;58;24872;Pyke;ILHAS DE FERRO;R$ 12.500,00;44.500;NÃO;13;;NÃO;98500
Ativo;Grey Worm Dondarrion;23300;38;32066;Meereen;Essos;9700;25.000;Não;0;;Não;55500
Ativo;Olenna Arryn;9600;49;28330;Braavos;Essos;11500;44500;Não;45;;Não;3000
Ativo;Tyrion Tyrell;19000;42;12/02/1984;Ilha dos Ursos;Norte;18500;R$ 59.000,00;Não;44;;Não;16500
Ativo;Robb Clegane;000.000.304-00;18;39338;Fosso Cailin;NORTE;14.100;38500;Não;7;;Não;11000
Ativo;Bran Dondarrion;4900;18;39369;Meereen;essos;18500;74500;Sim;20;;Sim;45500
Inativo;Jeor Baelish;000.000.332-00;66;03/05/1960;Dorne;dorne;14300 moedas;78000 moedas;Não;28;;Não;74500
Ativo;Jaime Dondarrion;000.000.056-00;35;08/04/1991;Ninho da Águia;Vale;20900 moedas;54000;0;44;;0;18000
Ativo;Loras Manderly;27800;38;32152;Monte Chifre | Campina;;2000;60000;Não;18 batalhas;;Não;54000
Inativo;Daario Marbrand;000.000.014-00;46 anos;15/09/1979;Fosso Cailin;Norte;15000;0;Não;40;;Não;90500
Ativo;Beric Seaworth;000.000.025-00;72;19800;Correrrio;Terras Fluviais;24300;13500;Não;33;;Não;14500
Ativo;Lyanna Seaworth;000.000.041-00;69;;Braavos;Essos;4.500;0;Sim;32;;Sim;56500
Ativo;Margaery Marbrand;000.000.146-00;22;38079;Ponta Tempestade;Terras da Tempestade;9200;R$ 5.000,00;Não;42;;Não;63500
Ativo;Tormund Yronwood;000.000.187-00;39;31972;Correrrio;TERRAS FLUVIAIS;8700;4500 moedas;Não;16;;Não;93500
Ativo;Ramsay Tarly;9800;35;21/07/1991;Pyke;ILHAS DE FERRO;R$ 2.000,00;R$ 5.500,00;Não;34;;Não;71000
